file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Json/./Run.java,Run,class,2,14,1,12,0,0.3,0.6,10,1,5,5,0,0,5,0,0,0,5,0,0,5,0,0,2,0,4,64,1,1,0,2,2,12,4,11,7,9,1,0,0,0,43,17,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Json/./json/JsonArray.java,json.JsonArray,class,3,7,2,3,3,0.4,0.4,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,25,5,0,1,0,0,1,0,1,0,1,1,0,0,0,93,17,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Json/./json/ParseException.java,json.ParseException,class,0,4,4,0,0,0.5,1.0,4,0,3,0,0,1,4,0,0,0,3,0,0,3,0,0,3,0,0,20,3,0,0,0,0,3,0,3,1,3,0,0,0,0,45,1,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Json/./json/JsonLiteral.java,json.JsonLiteral,class,2,6,2,1,1,0.2,0.3,6,0,5,1,0,0,5,0,0,0,7,3,0,4,0,3,7,0,0,30,5,0,0,0,0,6,0,7,0,7,0,0,0,0,20,16,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,class,7,86,1,31,204,0.0,0.0,28,0,2,26,0,0,2,0,0,0,7,0,0,7,0,0,1,0,0,293,34,7,3,0,0,89,14,32,9,16,2,0,0,0,59,17,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Json/./json/JsonNumber.java,json.JsonNumber,class,1,4,2,0,1,0.33333334,0.33333334,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,15,2,0,1,0,0,1,0,1,0,1,1,0,0,0,12,16,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Json/./json/JsonValue.java,json.JsonValue,class,2,11,1,1,55,0.0,0.0,11,0,10,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,34,8,0,0,0,0,2,0,0,2,0,0,0,0,0,82,1025,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Json/./json/JsonString.java,json.JsonString,class,1,2,2,0,1,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,16,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Json/./json/JsonObject.java,json.JsonObject,class,5,14,2,10,4,0.3809524,0.47619048,8,0,7,1,0,0,7,0,0,0,3,0,0,3,0,0,2,0,0,73,7,0,5,0,0,3,2,5,0,5,1,0,1,0,130,17,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Json/./json/JsonObject.java,json.JsonObject$HashIndexTable,innerclass,2,6,1,3,0,1.0,1.0,5,0,0,2,0,3,3,0,0,0,1,0,0,1,0,0,1,0,0,25,3,0,0,0,2,0,9,5,4,3,1,0,0,0,15,10,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Json/./som/Vector.java,som.Vector,class,7,48,1,12,0,0.625,0.6691176,20,2,17,3,0,0,17,0,0,0,3,0,0,3,0,0,0,0,6,171,16,7,3,0,1,7,32,39,11,21,4,0,0,1,72,1,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Json/./Harness.java,Harness,class,3,8,1,12,6,NaN,NaN,4,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,36,1,1,0,0,0,5,8,5,0,5,2,0,0,0,36,17,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Json/./Benchmark.java,Benchmark,class,1,5,1,2,3,0.0,0.0,3,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0,0,1,1,0,1,2,0,0,0,12,1025,0
