file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,reportBenchmark/0,total,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,reportBenchmark/0,numIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,reportBenchmark/0,name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,measure/1[Benchmark],total,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,measure/1[Benchmark],innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,printTotal/0,total,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,runBenchmark/0,benchmarkSuite,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,runBenchmark/0,name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,printResult/1[long],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,printResult/1[long],name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,setNumIterations/1[int],numIterations,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,setInnerIterations/1[int],innerIterations,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,Run/1[java.lang.String],benchmarkSuite,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,Run/1[java.lang.String],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,Run/1[java.lang.String],name,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,Run/1[java.lang.String],innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,getSuiteFromName/1[java.lang.String],name,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,doRuns/1[Benchmark],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./som/Random.java,som.Random,next/0,seed,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,Ball/1[som.Random],xVel,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,Ball/1[som.Random],x,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,Ball/1[som.Random],y,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,Ball/1[som.Random],yVel,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",xVel,5
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",x,5
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",y,5
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",yVel,5
