file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,reportBenchmark/0,total,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,reportBenchmark/0,numIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,reportBenchmark/0,name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,measure/1[Benchmark],total,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,measure/1[Benchmark],innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,printTotal/0,total,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,runBenchmark/0,benchmarkSuite,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,runBenchmark/0,name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,printResult/1[long],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,printResult/1[long],name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,setNumIterations/1[int],numIterations,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,setInnerIterations/1[int],innerIterations,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,Run/1[java.lang.String],benchmarkSuite,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,Run/1[java.lang.String],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,Run/1[java.lang.String],name,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,Run/1[java.lang.String],innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,getSuiteFromName/1[java.lang.String],name,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Run.java,Run,doRuns/1[Benchmark],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Permute.java,Permute,permute/1[int],count,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Permute.java,Permute,"swap/2[int,int]",v,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Permute.java,Permute,benchmark/0,v,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Permute/./Permute.java,Permute,benchmark/0,count,2
