file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,reportBenchmark/0,total,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,reportBenchmark/0,numIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,reportBenchmark/0,name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,measure/1[Benchmark],total,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,measure/1[Benchmark],innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,printTotal/0,total,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,runBenchmark/0,benchmarkSuite,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,runBenchmark/0,name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,printResult/1[long],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,printResult/1[long],name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,setNumIterations/1[int],numIterations,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,setInnerIterations/1[int],innerIterations,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,Run/1[java.lang.String],benchmarkSuite,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,Run/1[java.lang.String],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,Run/1[java.lang.String],name,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,Run/1[java.lang.String],innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,getSuiteFromName/1[java.lang.String],name,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,doRuns/1[Benchmark],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,queens/0,freeMaxs,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,queens/0,queenRows,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,queens/0,freeMins,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,queens/0,freeRows,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,"setRowColumn/3[int,int,boolean]",freeMaxs,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,"setRowColumn/3[int,int,boolean]",freeMins,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,"setRowColumn/3[int,int,boolean]",freeRows,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,placeQueen/1[int],queenRows,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,"getRowColumn/2[int,int]",freeMaxs,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,"getRowColumn/2[int,int]",freeMins,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,"getRowColumn/2[int,int]",freeRows,1
