file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,reportBenchmark/0,total,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,reportBenchmark/0,numIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,reportBenchmark/0,name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,measure/1[Benchmark],total,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,measure/1[Benchmark],innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,printTotal/0,total,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,runBenchmark/0,benchmarkSuite,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,runBenchmark/0,name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,printResult/1[long],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,printResult/1[long],name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,setNumIterations/1[int],numIterations,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,setInnerIterations/1[int],innerIterations,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,Run/1[java.lang.String],benchmarkSuite,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,Run/1[java.lang.String],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,Run/1[java.lang.String],name,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,Run/1[java.lang.String],innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,getSuiteFromName/1[java.lang.String],name,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,doRuns/1[Benchmark],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,popDiskFrom/1[int],piles,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,"moveTopDisk/2[int,int]",movesDone,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,benchmark/0,movesDone,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,benchmark/0,piles,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,"pushDisk/2[Towers.TowersDisk,int]",piles,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers$TowersDisk,setNext/1[Towers.TowersDisk],next,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers$TowersDisk,getSize/0,size,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers$TowersDisk,TowersDisk/1[int],size,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers$TowersDisk,getNext/0,next,1
