file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,measure/1[Benchmark],bench,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,measure/1[Benchmark],startTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,measure/1[Benchmark],endTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,measure/1[Benchmark],runTime,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,runBenchmark/0,e,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,printResult/1[long],runTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,setNumIterations/1[int],numIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,setInnerIterations/1[int],innerIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,Run/1[java.lang.String],name,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,getSuiteFromName/1[java.lang.String],e,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,getSuiteFromName/1[java.lang.String],name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,doRuns/1[Benchmark],bench,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Run.java,Run,doRuns/1[Benchmark],i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./som/Random.java,som.Random,main/1[java.lang.String[]],args,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./som/Random.java,som.Random,main/1[java.lang.String[]],e,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./som/Random.java,som.Random,main/1[java.lang.String[]],rnd,9
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Harness.java,Harness,processArguments/1[java.lang.String[]],args,5
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Harness.java,Harness,processArguments/1[java.lang.String[]],run,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",rand,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",randBenchmarkId,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",benchmarks,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Harness.java,Harness,"runBenchmarks/3[Benchmark[],int,int]",benchmarksNbr,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Harness.java,Harness,main/1[java.lang.String[]],args,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Harness.java,Harness,main/1[java.lang.String[]],run,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce,verifyResult/1[java.lang.Object],result,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce,benchmark/0,random,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce,benchmark/0,ball,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce,benchmark/0,ballCount,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce,benchmark/0,balls,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce,benchmark/0,v,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce,benchmark/0,i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce,benchmark/0,bounces,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce,printInner/1[int],x,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,Ball/1[som.Random],random,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",arr,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",a,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",random,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",b,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",c,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",xLimit,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",yLimit,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Bounce.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",bounced,5
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Bounce/./Benchmark.java,Benchmark,verifyResult/1[java.lang.Object],result,0
