file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Run.java,Run,measure/1[Benchmark],bench,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Run.java,Run,measure/1[Benchmark],startTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Run.java,Run,measure/1[Benchmark],endTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Run.java,Run,measure/1[Benchmark],runTime,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Run.java,Run,runBenchmark/0,e,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Run.java,Run,printResult/1[long],runTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Run.java,Run,setNumIterations/1[int],numIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Run.java,Run,setInnerIterations/1[int],innerIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Run.java,Run,Run/1[java.lang.String],name,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Run.java,Run,getSuiteFromName/1[java.lang.String],e,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Run.java,Run,getSuiteFromName/1[java.lang.String],name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Run.java,Run,doRuns/1[Benchmark],bench,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Run.java,Run,doRuns/1[Benchmark],i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Mandelbrot/./Mandelbrot.java,Mandelbrot,mandelbrot/1[int],bitNum,5
