file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,measure/1[Benchmark],bench,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,measure/1[Benchmark],startTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,measure/1[Benchmark],endTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,measure/1[Benchmark],runTime,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,runBenchmark/0,e,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,printResult/1[long],runTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,setNumIterations/1[int],numIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,setInnerIterations/1[int],innerIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,Run/1[java.lang.String],name,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,getSuiteFromName/1[java.lang.String],e,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,getSuiteFromName/1[java.lang.String],name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,doRuns/1[Benchmark],bench,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Run.java,Run,doRuns/1[Benchmark],i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,verifyResult/1[java.lang.Object],result,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,benchmark/0,result,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,benchmark/0,i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,"setRowColumn/3[int,int,boolean]",r,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Queens/./Queens.java,Queens,"setRowColumn/3[int,int,boolean]",c,2
