file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,measure/1[Benchmark],bench,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,measure/1[Benchmark],startTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,measure/1[Benchmark],endTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,measure/1[Benchmark],runTime,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,runBenchmark/0,e,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,printResult/1[long],runTime,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,setNumIterations/1[int],numIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,setInnerIterations/1[int],innerIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,Run/1[java.lang.String],name,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,getSuiteFromName/1[java.lang.String],e,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,getSuiteFromName/1[java.lang.String],name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,doRuns/1[Benchmark],bench,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Run.java,Run,doRuns/1[Benchmark],i,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,verifyResult/1[java.lang.Object],result,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,popDiskFrom/1[int],top,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,popDiskFrom/1[int],pile,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,"moveTopDisk/2[int,int]",fromPile,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,"moveTopDisk/2[int,int]",toPile,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,"buildTowerAt/2[int,int]",disks,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,"buildTowerAt/2[int,int]",pile,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,"buildTowerAt/2[int,int]",i,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,"pushDisk/2[Towers.TowersDisk,int]",disk,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,"pushDisk/2[Towers.TowersDisk,int]",top,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,"pushDisk/2[Towers.TowersDisk,int]",pile,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/Towers/./Towers.java,Towers,"moveDisks/3[int,int,int]",otherPile,2
