file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Run.java,Run,Run/1[java.lang.String],jrrex,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Run.java,Run,Run/1[java.lang.String],hdiop,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Run.java,Run,runBenchmark/0,dfbre,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Run.java,Run,doRuns/1[Benchmark],ftabv,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Run.java,Run,setNumIterations/1[int],owpve,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Run.java,Run,printResult/1[long],jfdkz,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Run.java,Run,reportBenchmark/0,wcmnw,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Run.java,Run,getSuiteFromName/1[java.lang.String],tpxyw,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Run.java,Run,measure/1[Benchmark],viknv,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Run.java,Run,measure/1[Benchmark],lejdi,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Run.java,Run,measure/1[Benchmark],yjowy,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./som/Random.java,som.Random,next/0,hqvgk,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Bounce$Ball.java,Bounce$Ball,Bounce$Ball/1[som.Random],gtirj,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Bounce$Ball.java,Bounce$Ball,Bounce$Ball/1[som.Random],bzxyb,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Bounce$Ball.java,Bounce$Ball,Bounce$Ball/1[som.Random],xfild,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Bounce$Ball.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",hqayj,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Bounce$Ball.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",rjhff,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Bounce$Ball.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",cznuc,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Bounce$Ball.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",tiujs,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Bounce$Ball.java,Bounce$Ball,"bounce/5[int,java.lang.String,int,double[],float]",wpbsi,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Harness.java,Harness,main/1[java.lang.String[]],mtmjy,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Harness.java,Harness,main/1[java.lang.String[]],fmipb,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Harness.java,Harness,processArguments/1[java.lang.String[]],oqpyl,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Harness.java,Harness,processArguments/1[java.lang.String[]],ingse,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Bounce.java,Bounce,verifyResult/1[java.lang.Object],aemgg,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Bounce.java,Bounce,benchmark/0,iumzg,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Bounce.java,Bounce,benchmark/0,ghewm,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Bounce.java,Bounce,benchmark/0,xupvz,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Bounce.java,Bounce,Bounce/0,izszv,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],ownhd,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],adhec,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],jafys,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Bounce/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],mebrh,1
