file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./Run.java,Run,Run/1[java.lang.String],lzlih,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./Run.java,Run,Run/1[java.lang.String],wmccf,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./Run.java,Run,runBenchmark/0,snczz,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./Run.java,Run,doRuns/1[Benchmark],sshny,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./Run.java,Run,setNumIterations/1[int],nqmpv,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./Run.java,Run,printResult/1[long],efnba,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./Run.java,Run,reportBenchmark/0,mvnei,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./Run.java,Run,getSuiteFromName/1[java.lang.String],rdsxz,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./Run.java,Run,measure/1[Benchmark],fmebz,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./Run.java,Run,measure/1[Benchmark],rajlo,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./Run.java,Run,measure/1[Benchmark],aktow,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonArray.java,json.JsonArray,add/1[json.JsonValue],nfiym,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonLiteral.java,json.JsonLiteral,JsonLiteral/1[java.lang.String],lckjm,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonLiteral.java,json.JsonLiteral,staticInit/0,wnzyj,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readChar/1[java.lang.String],qrunr,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readStringInternal/0,mrjmb,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,JsonPureStringParser/1[java.lang.String],thwli,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readString/0,zeuqw,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readRequiredChar/1[java.lang.String],lytpf,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,skipWhiteSpace/0,ncrxk,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readNumber/0,wpdwq,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readNumber/0,kdcgd,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readNumber/0,cmrqc,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readNumber/0,agxia,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readDigit/0,hjwlg,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,endCapture/0,kietb,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readName/0,hubat,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readObject/0,krody,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readObject/0,vlbdu,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readObject/0,dorgx,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readObject/0,ilyzi,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,read/0,sodxs,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readValue/0,njokw,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readValue/0,uyphu,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readValue/0,tzyqx,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readValue/0,hdtxk,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readValue/0,xbarl,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readValue/0,yuwnl,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readValue/0,qmcrq,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readArray/0,hueur,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,readArray/0,vrzhc,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,parse/0,bhssf,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Json/./json/JsonPureStringParser.java,json.JsonPureStringParser,parse/0,zfsdu,1
