file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Run.java,Run,Run/1[java.lang.String],vzgeh,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Run.java,Run,Run/1[java.lang.String],ujftw,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Run.java,Run,runBenchmark/0,fpkmg,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Run.java,Run,doRuns/1[Benchmark],gtbbs,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Run.java,Run,setNumIterations/1[int],hyjyr,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Run.java,Run,printResult/1[long],dtamx,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Run.java,Run,reportBenchmark/0,rftnc,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Run.java,Run,getSuiteFromName/1[java.lang.String],vyyfd,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Run.java,Run,measure/1[Benchmark],dsosh,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Run.java,Run,measure/1[Benchmark],wmlno,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Run.java,Run,measure/1[Benchmark],uhpje,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Harness.java,Harness,main/1[java.lang.String[]],hnrqd,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Harness.java,Harness,main/1[java.lang.String[]],nmnkd,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Harness.java,Harness,processArguments/1[java.lang.String[]],pvqjp,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Harness.java,Harness,processArguments/1[java.lang.String[]],rjwyg,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List$Element.java,List$Element,setNext/1[List$Element],qkguu,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List$Element.java,List$Element,length/0,hoiwi,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List$Element.java,List$Element,List$Element/1[java.lang.Object],uzpst,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,List/0,lfhtc,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,verifyResult/1[java.lang.Object],sivjb,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,"tail/3[List$Element,List$Element,List$Element]",fgmmj,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,"tail/3[List$Element,List$Element,List$Element]",tbbvw,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,"tail/3[List$Element,List$Element,List$Element]",yggnd,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,"tail/3[List$Element,List$Element,List$Element]",ipywf,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,"isShorterThan/2[List$Element,List$Element]",jsjhe,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,"isShorterThan/2[List$Element,List$Element]",wlabn,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,"isShorterThan/2[List$Element,List$Element]",xwscw,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,benchmark/0,jncbn,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,benchmark/0,lfjrf,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,benchmark/0,vfchz,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,makeList/1[int],nubvm,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./List.java,List,makeList/1[int],jledv,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],nskyx,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],ymuan,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],ckfdg,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/List/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],yhluw,1
