file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,Run/1[java.lang.String],hhfrz,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,Run/1[java.lang.String],itblh,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,runBenchmark/0,gjejz,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,doRuns/1[Benchmark],egoas,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,setNumIterations/1[int],tnbvd,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,printResult/1[long],hjzzt,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,getSuiteFromName/1[java.lang.String],nqoco,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,reportBenchmark/0,cnttk,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,measure/1[Benchmark],syhdo,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,measure/1[Benchmark],yfzep,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,measure/1[Benchmark],qtgop,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Run.java,Run,measure/1[Benchmark],hbfmy,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Mandelbrot.java,Mandelbrot,innerBenchmarkLoop/1[int],wkpuq,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Mandelbrot.java,Mandelbrot,innerBenchmarkLoop/1[int],prcqx,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Mandelbrot.java,Mandelbrot,innerBenchmarkLoop/1[int],teerz,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Mandelbrot.java,Mandelbrot,Mandelbrot/0,ezbal,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Mandelbrot.java,Mandelbrot,"verifyResult/2[int,int]",igyjq,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Mandelbrot.java,Mandelbrot,"verifyResult/2[int,int]",igttq,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Mandelbrot.java,Mandelbrot,mandelbrot/1[int],eorxy,14
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Mandelbrot.java,Mandelbrot,mandelbrot/1[int],ilrkr,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Harness.java,Harness,main/1[java.lang.String[]],egmgh,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Harness.java,Harness,main/1[java.lang.String[]],omulx,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Harness.java,Harness,processArguments/1[java.lang.String[]],kkibi,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Mandelbrot/./Harness.java,Harness,processArguments/1[java.lang.String[]],flxeb,0
