file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Run.java,Run,Run/1[java.lang.String],gyymc,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Run.java,Run,Run/1[java.lang.String],vcelh,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Run.java,Run,runBenchmark/0,jowam,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Run.java,Run,doRuns/1[Benchmark],ogvpv,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Run.java,Run,setNumIterations/1[int],pkplp,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Run.java,Run,printResult/1[long],dafvb,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Run.java,Run,getSuiteFromName/1[java.lang.String],yfkjx,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Run.java,Run,reportBenchmark/0,degvb,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Run.java,Run,measure/1[Benchmark],lbrka,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Run.java,Run,measure/1[Benchmark],bpxxh,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Run.java,Run,measure/1[Benchmark],jebcg,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./Run.java,Run,measure/1[Benchmark],iolfe,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,"Body/7[double,double,double,double,double,double,double]",brwux,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,"Body/7[double,double,double,double,double,double,double]",zeadt,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,"Body/7[double,double,double,double,double,double,double]",iismk,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,"Body/7[double,double,double,double,double,double,double]",virok,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,"Body/7[double,double,double,double,double,double,double]",gdtji,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,"Body/7[double,double,double,double,double,double,double]",wgeok,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,"Body/7[double,double,double,double,double,double,double]",ulgda,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,setY/1[double],fynoq,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,setVY/1[double],fuyqf,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,setVX/1[double],oprii,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,setVZ/1[double],nbwth,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,setZ/1[double],mkwgv,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,sun/0,kioyt,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,"offsetMomentum/3[double,double,double]",jmfus,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,"offsetMomentum/3[double,double,double]",rxcka,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,"offsetMomentum/3[double,double,double]",itxnr,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/Body.java,nbody.Body,setX/1[double],scazc,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/NBodySystem.java,nbody.NBodySystem,energy/0,qjjrl,20
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/NBodySystem.java,nbody.NBodySystem,energy/0,inziw,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/NBodySystem.java,nbody.NBodySystem,NBodySystem/0,slfcs,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/NBodySystem.java,nbody.NBodySystem,advance/1[double],ecmdb,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/NBodySystem.java,nbody.NBodySystem,advance/1[double],yjzfw,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/NBodySystem.java,nbody.NBodySystem,advance/1[double],hkvpk,35
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/NBodySystem.java,nbody.NBodySystem,advance/1[double],ouitv,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/NBodySystem.java,nbody.NBodySystem,advance/1[double],muzjt,9
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/NBody/./nbody/NBodySystem.java,nbody.NBodySystem,advance/1[double],gzxxb,3
