file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Run.java,Run,Run/1[java.lang.String],zdtkc,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Run.java,Run,Run/1[java.lang.String],ldhva,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Run.java,Run,runBenchmark/0,ylqqy,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Run.java,Run,doRuns/1[Benchmark],elmih,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Run.java,Run,setNumIterations/1[int],yeoda,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Run.java,Run,printResult/1[long],evehk,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Run.java,Run,reportBenchmark/0,sklnq,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Run.java,Run,getSuiteFromName/1[java.lang.String],ddhnm,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Run.java,Run,measure/1[Benchmark],zzafv,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Run.java,Run,measure/1[Benchmark],qbxvc,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Run.java,Run,measure/1[Benchmark],fqrpa,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Harness.java,Harness,main/1[java.lang.String[]],kdjfa,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Harness.java,Harness,main/1[java.lang.String[]],vyvmr,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Harness.java,Harness,processArguments/1[java.lang.String[]],ccynn,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Harness.java,Harness,processArguments/1[java.lang.String[]],mmlac,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Permute.java,Permute,Permute/0,bceah,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Permute.java,Permute,verifyResult/1[java.lang.Object],aujmi,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Permute.java,Permute,permute/1[int],gistk,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Permute.java,Permute,"swap/2[int,int]",joyid,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Permute.java,Permute,"swap/2[int,int]",pwopp,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],oheuq,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],ukvtz,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],yquyb,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Permute/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],fvdup,1
