file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Run.java,Run,Run/1[java.lang.String],zcxwn,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Run.java,Run,Run/1[java.lang.String],hwjve,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Run.java,Run,runBenchmark/0,mbfly,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Run.java,Run,doRuns/1[Benchmark],xydum,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Run.java,Run,setNumIterations/1[int],dnqfg,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Run.java,Run,printResult/1[long],ulrnl,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Run.java,Run,reportBenchmark/0,hbuhz,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Run.java,Run,getSuiteFromName/1[java.lang.String],ihnfv,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Run.java,Run,measure/1[Benchmark],kpvxg,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Run.java,Run,measure/1[Benchmark],aqhkd,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Run.java,Run,measure/1[Benchmark],ndyvt,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Queens.java,Queens,"getRowColumn/2[int,int]",zilvz,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Queens.java,Queens,"getRowColumn/2[int,int]",brqrr,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Queens.java,Queens,queens/0,kixmr,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Queens.java,Queens,Queens/0,rkppi,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Queens.java,Queens,"setRowColumn/3[int,int,boolean]",rwemc,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Queens.java,Queens,"setRowColumn/3[int,int,boolean]",kmlnp,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Queens.java,Queens,"setRowColumn/3[int,int,boolean]",pyfeg,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Queens.java,Queens,benchmark/0,cdpwg,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Queens.java,Queens,placeQueen/1[int],wxulu,5
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Queens.java,Queens,placeQueen/1[int],gmhra,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Queens.java,Queens,verifyResult/1[java.lang.Object],kanjm,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Harness.java,Harness,main/1[java.lang.String[]],sfxxw,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Harness.java,Harness,main/1[java.lang.String[]],xonfo,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Harness.java,Harness,processArguments/1[java.lang.String[]],ktvcv,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Harness.java,Harness,processArguments/1[java.lang.String[]],jxaih,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],vthcp,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],ifouw,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],ocwso,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Queens/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],msxph,0
