file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Run.java,Run,Run/1[java.lang.String],mlydj,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Run.java,Run,Run/1[java.lang.String],tzbnj,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Run.java,Run,runBenchmark/0,tfhrc,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Run.java,Run,doRuns/1[Benchmark],dljja,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Run.java,Run,setNumIterations/1[int],lxpga,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Run.java,Run,printResult/1[long],ygktd,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Run.java,Run,reportBenchmark/0,xeyqx,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Run.java,Run,getSuiteFromName/1[java.lang.String],hyonb,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Run.java,Run,measure/1[Benchmark],pbvgk,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Run.java,Run,measure/1[Benchmark],xgkqc,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Run.java,Run,measure/1[Benchmark],baays,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Sieve.java,Sieve,Sieve/0,vtyvo,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Sieve.java,Sieve,verifyResult/1[java.lang.Object],tgamc,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Sieve.java,Sieve,benchmark/0,bhyhh,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Sieve.java,Sieve,"sieve/2[boolean[],int]",vlqlf,5
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Sieve.java,Sieve,"sieve/2[boolean[],int]",szoqq,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Harness.java,Harness,main/1[java.lang.String[]],zaucf,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Harness.java,Harness,main/1[java.lang.String[]],mtbmz,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Harness.java,Harness,processArguments/1[java.lang.String[]],wbbzq,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Harness.java,Harness,processArguments/1[java.lang.String[]],yhrlo,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],pjosf,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],xobgw,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],zdiab,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Sieve/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],lnkms,1
