file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Run.java,Run,Run/1[java.lang.String],asgsj,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Run.java,Run,Run/1[java.lang.String],ruhtf,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Run.java,Run,runBenchmark/0,gunjw,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Run.java,Run,doRuns/1[Benchmark],vwzbk,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Run.java,Run,setNumIterations/1[int],uwtcw,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Run.java,Run,printResult/1[long],gwbrz,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Run.java,Run,reportBenchmark/0,vlejc,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Run.java,Run,getSuiteFromName/1[java.lang.String],nolhg,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Run.java,Run,measure/1[Benchmark],uhnni,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Run.java,Run,measure/1[Benchmark],riqor,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Run.java,Run,measure/1[Benchmark],tjsup,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Storage.java,Storage,Storage/0,wtzam,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Storage.java,Storage,"buildTreeDepth/2[int,som.Random]",mvfsk,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Storage.java,Storage,"buildTreeDepth/2[int,som.Random]",wzehe,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Storage.java,Storage,"buildTreeDepth/2[int,som.Random]",pliqv,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Storage.java,Storage,verifyResult/1[java.lang.Object],wpgql,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Storage.java,Storage,benchmark/0,jduvq,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Storage.java,Storage,benchmark/0,celcv,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./som/Random.java,som.Random,next/0,zkmpk,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Harness.java,Harness,main/1[java.lang.String[]],agxtu,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Harness.java,Harness,main/1[java.lang.String[]],guiec,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Harness.java,Harness,processArguments/1[java.lang.String[]],bqxet,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Harness.java,Harness,processArguments/1[java.lang.String[]],mbmgk,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],zgpjm,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],sgopy,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],qnyfu,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Storage/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],tcxhk,1
