file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Run.java,Run,Run/1[java.lang.String],yjhks,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Run.java,Run,Run/1[java.lang.String],pasef,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Run.java,Run,runBenchmark/0,bkkso,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Run.java,Run,doRuns/1[Benchmark],skatk,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Run.java,Run,setNumIterations/1[int],xzzle,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Run.java,Run,printResult/1[long],qbblg,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Run.java,Run,reportBenchmark/0,kixzy,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Run.java,Run,getSuiteFromName/1[java.lang.String],vvude,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Run.java,Run,measure/1[Benchmark],wvsso,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Run.java,Run,measure/1[Benchmark],jvglf,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Run.java,Run,measure/1[Benchmark],wytsz,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers$TowersDisk.java,Towers$TowersDisk,setNext/1[Towers$TowersDisk],mdbpy,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers$TowersDisk.java,Towers$TowersDisk,Towers$TowersDisk/1[int],yvohv,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,verifyResult/1[java.lang.Object],jowvp,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,Towers/0,vmydw,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,"moveTopDisk/2[int,int]",kujjz,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,"moveTopDisk/2[int,int]",bouwq,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,"moveTopDisk/2[int,int]",ickyr,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,"buildTowerAt/2[int,int]",cbxdl,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,"buildTowerAt/2[int,int]",bkibx,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,"buildTowerAt/2[int,int]",vvwhr,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,"moveDisks/3[int,int,int]",tlfdr,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,"moveDisks/3[int,int,int]",nxigw,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,"moveDisks/3[int,int,int]",ukzmf,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,popDiskFrom/1[int],xofss,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,popDiskFrom/1[int],djqxr,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,popDiskFrom/1[int],ncohn,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,"pushDisk/2[Towers$TowersDisk,int]",kukfe,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,"pushDisk/2[Towers$TowersDisk,int]",mkmmw,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Towers.java,Towers,"pushDisk/2[Towers$TowersDisk,int]",mguhk,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Harness.java,Harness,main/1[java.lang.String[]],tultx,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Harness.java,Harness,main/1[java.lang.String[]],zojuv,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Harness.java,Harness,processArguments/1[java.lang.String[]],uiuoe,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Harness.java,Harness,processArguments/1[java.lang.String[]],bsevh,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],pkcxh,0
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],gbvuf,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],gbvzt,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/generated_codebases/Towers/./Benchmark.java,Benchmark,innerBenchmarkLoop/1[int],snkbw,2
