,attr1,attr2,correlation,p
0,cbo,wmc,0.5805277638498536,0.0
1,cbo,dit,0.31253825072330105,0.0
2,cbo,rfc,0.6997199269601446,0.0
3,cbo,lcom,0.37653958170149326,0.0
4,cbo,totalMethodsQty,0.5501359316184032,0.0
5,cbo,staticMethodsQty,0.22834334071965703,0.0
6,cbo,publicMethodsQty,0.4511183271769291,0.0
7,cbo,privateMethodsQty,0.3879464508371947,0.0
8,cbo,protectedMethodsQty,0.222000941568875,0.0
9,cbo,defaultMethodsQty,0.006499110374393517,0.02218207963411303
10,cbo,abstractMethodsQty,0.5118421926280619,0.0
11,cbo,finalMethodsQty,0.0721496211076158,1.3509139333994207e-142
12,cbo,synchronizedMethodsQty,0.09000788432475634,4.27663451704685e-221
13,cbo,totalFieldsQty,0.3855715520278975,0.0
14,cbo,staticFieldsQty,0.39476576982461825,0.0
15,cbo,publicFieldsQty,0.3033998908104821,0.0
16,cbo,privateFieldsQty,0.07559438011737592,2.2264620319702058e-156
17,cbo,protectedFieldsQty,0.4072657575333784,0.0
18,cbo,defaultFieldsQty,0.13649895512365012,0.0
19,cbo,visibleFieldsQty,0.08892729809612027,7.558760206834094e-216
20,cbo,finalFieldsQty,0.3581755437667295,0.0
21,cbo,synchronizedFieldsQty,,
22,cbo,nosi,0.5399407211896494,0.0
23,cbo,loc,0.6483531300015231,0.0
24,cbo,returnQty,0.3807595320949945,0.0
25,cbo,loopQty,0.30416147517170006,0.0
26,cbo,comparisonsQty,0.3901593428196107,0.0
27,cbo,tryCatchQty,0.2919750772522988,0.0
28,cbo,parenthesizedExpsQty,0.2617293875701592,0.0
29,cbo,stringLiteralsQty,0.46307892405249995,0.0
30,cbo,numbersQty,0.37455733357621407,0.0
31,cbo,assignmentsQty,0.5546918189136657,0.0
32,cbo,mathOperationsQty,0.30101869726463587,0.0
33,cbo,variablesQty,0.5706495021033025,0.0
34,cbo,maxNestedBlocksQty,0.4516453318600902,0.0
35,cbo,anonymousClassesQty,0.2651075771697451,0.0
36,cbo,innerClassesQty,0.2743466175890477,0.0
37,cbo,lambdasQty,0.22466972279799916,0.0
38,cbo,uniqueWordsQty,0.665503927882233,0.0
39,cbo,modifiers,0.17207158788950883,0.0
40,cbo,logStatementsQty,0.20440239432977086,0.0
41,wmc,dit,0.16098532928320738,0.0
42,wmc,rfc,0.6864765628052375,0.0
43,wmc,lcom,0.6659510189184462,0.0
44,wmc,totalMethodsQty,0.9253038509854398,0.0
45,wmc,staticMethodsQty,0.35429593789887914,0.0
46,wmc,publicMethodsQty,0.7477165618782268,0.0
47,wmc,privateMethodsQty,0.4700836020978381,0.0
48,wmc,protectedMethodsQty,0.24389375068244348,0.0
49,wmc,defaultMethodsQty,0.08635311807241866,1.318084074137047e-203
50,wmc,abstractMethodsQty,0.885970929701755,0.0
51,wmc,finalMethodsQty,0.08529284882515586,1.1380006052772155e-198
52,wmc,synchronizedMethodsQty,0.12044206420682946,0.0
53,wmc,totalFieldsQty,0.49993496800823667,0.0
54,wmc,staticFieldsQty,0.5222183092323675,0.0
55,wmc,publicFieldsQty,0.3415395531639374,0.0
56,wmc,privateFieldsQty,0.057726182192789625,6.654124317115366e-92
57,wmc,protectedFieldsQty,0.5453495825189929,0.0
58,wmc,defaultFieldsQty,0.17490725905585772,0.0
59,wmc,visibleFieldsQty,0.08753407014207776,3.54136700846596e-209
60,wmc,finalFieldsQty,0.4238925099346945,0.0
61,wmc,synchronizedFieldsQty,,
62,wmc,nosi,0.5319761098369784,0.0
63,wmc,loc,0.8791297911865245,0.0
64,wmc,returnQty,0.6826211505908851,0.0
65,wmc,loopQty,0.48244190683216526,0.0
66,wmc,comparisonsQty,0.6318578158778425,0.0
67,wmc,tryCatchQty,0.36339243517907827,0.0
68,wmc,parenthesizedExpsQty,0.41558258871608994,0.0
69,wmc,stringLiteralsQty,0.4614291541969662,0.0
70,wmc,numbersQty,0.5390687548123498,0.0
71,wmc,assignmentsQty,0.7195298517035481,0.0
72,wmc,mathOperationsQty,0.4862669629060219,0.0
73,wmc,variablesQty,0.6709299484649431,0.0
74,wmc,maxNestedBlocksQty,0.6965200871173605,0.0
75,wmc,anonymousClassesQty,0.18779119090904886,0.0
76,wmc,innerClassesQty,0.17324392049725135,0.0
77,wmc,lambdasQty,0.183450903710841,0.0
78,wmc,uniqueWordsQty,0.7762675697458923,0.0
79,wmc,modifiers,0.19280442687346247,0.0
80,wmc,logStatementsQty,0.19456772935077274,0.0
81,dit,rfc,0.22188656985892458,0.0
82,dit,lcom,0.1566953027638759,0.0
83,dit,totalMethodsQty,0.1765208031872504,0.0
84,dit,staticMethodsQty,-0.021512345423119104,3.685193356932152e-14
85,dit,publicMethodsQty,0.17405103237228808,0.0
86,dit,privateMethodsQty,0.09818252817712386,7.065500410444502e-263
87,dit,protectedMethodsQty,0.2963283467653263,0.0
88,dit,defaultMethodsQty,-0.08761632934448199,1.4397354193108237e-209
89,dit,abstractMethodsQty,0.17253602923741962,0.0
90,dit,finalMethodsQty,0.02384122381557053,4.7973673164136774e-17
91,dit,synchronizedMethodsQty,0.04640699950002096,5.069109020460044e-60
92,dit,totalFieldsQty,0.13342458751557604,0.0
93,dit,staticFieldsQty,0.14681116709205425,0.0
94,dit,publicFieldsQty,0.1162351559719705,0.0
95,dit,privateFieldsQty,0.01778910427272085,3.82618092109436e-10
96,dit,protectedFieldsQty,0.13416083378599347,0.0
97,dit,defaultFieldsQty,0.09676525262287416,2.2776786095763566e-255
98,dit,visibleFieldsQty,0.05895046283931062,9.102861395914314e-96
99,dit,finalFieldsQty,0.12739942608236807,0.0
100,dit,synchronizedFieldsQty,,
101,dit,nosi,0.1744451873415768,0.0
102,dit,loc,0.2422861972989846,0.0
103,dit,returnQty,0.10129580273484468,9.237027661252538e-280
104,dit,loopQty,0.04999350088468813,2.252565333427142e-69
105,dit,comparisonsQty,0.11662175528675073,0.0
106,dit,tryCatchQty,0.04732509917340046,2.3822467222823026e-62
107,dit,parenthesizedExpsQty,0.09962762570494113,1.1994341501238495e-270
108,dit,stringLiteralsQty,0.13299321005062026,0.0
109,dit,numbersQty,0.13676871259106912,0.0
110,dit,assignmentsQty,0.19703422117858774,0.0
111,dit,mathOperationsQty,0.07331793078668405,3.3778388407989426e-147
112,dit,variablesQty,0.18898501448576294,0.0
113,dit,maxNestedBlocksQty,0.1201786517195075,0.0
114,dit,anonymousClassesQty,0.1375781027750715,0.0
115,dit,innerClassesQty,0.24999892497007287,0.0
116,dit,lambdasQty,0.03186763374867663,3.329937394115779e-29
117,dit,uniqueWordsQty,0.25209281069194495,0.0
118,dit,modifiers,0.2315428524786856,0.0
119,dit,logStatementsQty,0.02329423383050751,2.4243829711340877e-16
120,rfc,lcom,0.3495442130465932,0.0
121,rfc,totalMethodsQty,0.5774993467319371,0.0
122,rfc,staticMethodsQty,0.3235798762385039,0.0
123,rfc,publicMethodsQty,0.5656082210870192,0.0
124,rfc,privateMethodsQty,0.4599486554977382,0.0
125,rfc,protectedMethodsQty,0.2155923557195504,0.0
126,rfc,defaultMethodsQty,-0.11634926994550024,0.0
127,rfc,abstractMethodsQty,0.5323377934913059,0.0
128,rfc,finalMethodsQty,0.016644627863540047,4.682010563331442e-09
129,rfc,synchronizedMethodsQty,0.09951426812664514,4.9279786530641505e-270
130,rfc,totalFieldsQty,0.40332791322157585,0.0
131,rfc,staticFieldsQty,0.4031679682865965,0.0
132,rfc,publicFieldsQty,0.3635118579514893,0.0
133,rfc,privateFieldsQty,0.06738736602972889,1.3160790967825233e-124
134,rfc,protectedFieldsQty,0.4288748524167942,0.0
135,rfc,defaultFieldsQty,0.13840418209339397,0.0
136,rfc,visibleFieldsQty,0.07978444657514562,5.1092093562035e-174
137,rfc,finalFieldsQty,0.3957407122675962,0.0
138,rfc,synchronizedFieldsQty,,
139,rfc,nosi,0.7078695799357814,0.0
140,rfc,loc,0.771495779491353,0.0
141,rfc,returnQty,0.44957185411476197,0.0
142,rfc,loopQty,0.47591562220432565,0.0
143,rfc,comparisonsQty,0.5475410798496079,0.0
144,rfc,tryCatchQty,0.41238826107042414,0.0
145,rfc,parenthesizedExpsQty,0.3768103956116061,0.0
146,rfc,stringLiteralsQty,0.5796631053887221,0.0
147,rfc,numbersQty,0.566566361711696,0.0
148,rfc,assignmentsQty,0.7254392442520187,0.0
149,rfc,mathOperationsQty,0.4851821745222203,0.0
150,rfc,variablesQty,0.7075676267361996,0.0
151,rfc,maxNestedBlocksQty,0.6742187375454588,0.0
152,rfc,anonymousClassesQty,0.2553748852736321,0.0
153,rfc,innerClassesQty,0.2171798213334955,0.0
154,rfc,lambdasQty,0.26871891189125713,0.0
155,rfc,uniqueWordsQty,0.6678318632751011,0.0
156,rfc,modifiers,0.030471411369886126,7.668681758857364e-27
157,rfc,logStatementsQty,0.25255899947617866,0.0
158,lcom,totalMethodsQty,0.7301174107631101,0.0
159,lcom,staticMethodsQty,0.27515475191247546,0.0
160,lcom,publicMethodsQty,0.511992753861311,0.0
161,lcom,privateMethodsQty,0.36234603098684354,0.0
162,lcom,protectedMethodsQty,0.21587331236249288,0.0
163,lcom,defaultMethodsQty,0.12019828015031275,0.0
164,lcom,abstractMethodsQty,0.6965409177165409,0.0
165,lcom,finalMethodsQty,0.13680656508327238,0.0
166,lcom,synchronizedMethodsQty,0.10495038002880137,2.889308366329662e-300
167,lcom,totalFieldsQty,0.21913219874801404,0.0
168,lcom,staticFieldsQty,0.22213181132839632,0.0
169,lcom,publicFieldsQty,0.21815158252086383,0.0
170,lcom,privateFieldsQty,0.02182547332516729,1.56764802024153e-14
171,lcom,protectedFieldsQty,0.2357864566912253,0.0
172,lcom,defaultFieldsQty,0.13250748123468997,0.0
173,lcom,visibleFieldsQty,0.022359691880844152,3.547561151245069e-15
174,lcom,finalFieldsQty,0.16332274937154617,0.0
175,lcom,synchronizedFieldsQty,,
176,lcom,nosi,0.32049029425522607,0.0
